,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAGRAAPEI-201-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAHRAAPEI-202-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAIRAAPEI-205-counts.tsv
ENSG00000108370,5,10,4,3,8,10
ENSG00000108375,1397,1075,1225,1182,1570,1114
ENSG00000108379,83,57,69,48,94,47
ENSG00000108381,2,0,0,2,0,0
ENSG00000108384,10044,8441,7991,6637,11104,7658
ENSG00000108387,27,16,14,17,27,25
ENSG00000108389,3159,2564,2702,2082,3074,2292
ENSG00000108395,31831,26173,26765,22942,36858,26648
ENSG00000108405,0,1,0,0,0,0
ENSG00000108406,3664,3075,3168,2525,4221,2993
ENSG00000108417,0,1,2,0,1,4
ENSG00000108423,3575,2844,3069,2015,3809,2607
ENSG00000108424,14905,11890,11041,10420,15440,10706
ENSG00000108433,338,235,272,253,360,236
ENSG00000108439,641,546,517,475,624,486
ENSG00000108443,20824,17105,16491,14087,22892,16371
ENSG00000108448,605,495,503,426,614,409
ENSG00000108465,4239,3446,3590,3142,4699,3490
ENSG00000108468,3686,2931,2958,2517,3934,2825
ENSG00000108469,2130,1738,1792,1574,2241,1685
ENSG00000108474,334,241,315,263,392,279
ENSG00000108479,1555,1086,1276,1197,1758,1197
ENSG00000108506,3640,3000,2987,2606,4163,2926
ENSG00000108509,501,383,434,359,543,496
ENSG00000108510,9548,8157,8037,7152,12082,8361
ENSG00000108511,1,6,4,1,3,2
ENSG00000108515,382,251,275,258,349,266
ENSG00000108518,11704,9434,9641,8411,13319,9576
ENSG00000108523,1642,1290,1305,1180,1794,1392
ENSG00000108528,2257,1829,1868,1686,2514,1821
ENSG00000108551,860,493,672,5995,8925,6327
ENSG00000108556,3,1,3,3,3,4
ENSG00000108557,2211,1701,1871,1785,2553,1836
ENSG00000108559,1198,971,1010,893,1458,1059
ENSG00000108561,4797,3662,3564,3487,5223,3470
ENSG00000108576,2,0,2,2,1,2
ENSG00000108578,1306,1040,1010,942,1334,1005
ENSG00000108582,1786,1498,1541,1284,1993,1447
ENSG00000108587,853,721,672,568,875,614
ENSG00000108588,6493,5064,4716,4918,7542,5066
ENSG00000108590,118,83,96,61,136,87
ENSG00000108591,715,583,583,517,801,612
ENSG00000108592,7625,6056,5885,5217,7567,5272
ENSG00000108599,596,501,537,394,737,490
ENSG00000108602,3,9,0,7,3,4
ENSG00000108604,12551,10036,10372,9270,13546,10068
ENSG00000108622,0,0,0,0,0,0
ENSG00000108639,5265,3916,4255,3940,5912,4350
ENSG00000108641,509,401,424,353,535,396
ENSG00000108651,1075,872,815,663,1106,753
ENSG00000108654,46215,36644,35902,37772,63877,45303
ENSG00000108666,524,389,395,360,539,403
ENSG00000108669,532,387,486,433,709,494
ENSG00000108671,4131,3454,3407,2959,4813,3276
ENSG00000108679,283,300,274,245,353,274
ENSG00000108684,0,0,0,0,0,0
ENSG00000108688,0,0,0,0,0,0
ENSG00000108691,0,0,0,0,0,0
ENSG00000108700,0,0,0,0,0,0
ENSG00000108702,0,0,0,0,0,0
ENSG00000108733,151,125,115,64,114,84
ENSG00000108759,30,15,16,10,23,13
ENSG00000108771,6,2,0,4,13,2
ENSG00000108773,2068,1469,1630,1396,2052,1598
ENSG00000108774,1183,866,833,791,1159,863
ENSG00000108784,937,732,799,703,1097,822
ENSG00000108786,70,63,84,75,92,51
ENSG00000108788,1289,1002,1005,809,1248,889
ENSG00000108797,24,33,27,33,50,31
ENSG00000108798,0,0,0,0,1,0
ENSG00000108799,444,424,467,331,535,473
ENSG00000108813,57,47,51,34,57,53
ENSG00000108819,1657,1278,1460,1286,1844,1348
ENSG00000108821,322,255,313,489,721,577
ENSG00000108823,2,0,0,1,1,0
ENSG00000108825,0,0,0,0,0,0
ENSG00000108826,1660,1340,1219,1287,1911,1344
ENSG00000108828,866,628,685,630,885,657
ENSG00000108829,6497,5287,5243,4968,7293,5331
ENSG00000108830,9,10,4,8,11,9
ENSG00000108839,38,19,29,28,46,28
ENSG00000108840,310,236,271,244,449,334
ENSG00000108846,1935,1555,1626,1363,2206,1604
ENSG00000108848,4435,3537,3629,2992,5151,3550
ENSG00000108849,0,0,0,0,0,0
ENSG00000108852,435,340,359,320,475,363
ENSG00000108854,1908,1601,1702,1442,2165,1552
ENSG00000108861,1242,1012,1086,940,1539,1122
ENSG00000108878,10,7,8,4,2,2
ENSG00000108883,2706,2323,2278,1990,2992,2094
ENSG00000108924,24,11,18,20,19,21
ENSG00000108932,471,423,321,360,624,317
ENSG00000108946,10491,8660,8536,7697,13146,9114
ENSG00000108947,40,43,37,47,53,44
ENSG00000108950,7,5,14,10,14,8
ENSG00000108953,5930,4817,4900,4195,6645,4698
ENSG00000108960,145,120,151,96,192,127
ENSG00000108961,2,0,2,0,2,1
ENSG00000108963,537,414,431,390,587,412
ENSG00000108984,67,59,51,63,77,59
ENSG00000109016,204,142,172,167,229,180
ENSG00000109046,3335,2812,2983,2259,4042,3213
ENSG00000109047,0,0,0,0,0,0
ENSG00000109061,0,0,0,0,0,0
ENSG00000109062,12217,9199,9495,9209,12811,8716
ENSG00000109063,85,61,63,76,97,61
ENSG00000109065,714,517,510,546,774,558
ENSG00000109066,399,294,308,330,466,295
ENSG00000109072,28,21,39,29,38,25
ENSG00000109079,1174,951,1004,974,1474,1091
ENSG00000109083,360,296,322,249,487,378
ENSG00000109084,1950,1544,1426,1339,2110,1411
ENSG00000109089,400,290,319,247,380,318
ENSG00000109099,234,156,190,197,251,206
ENSG00000109101,7,10,6,2,15,5
ENSG00000109103,1474,1165,1219,1056,1550,1167
ENSG00000109107,875,699,690,599,997,773
ENSG00000109111,4759,3895,3609,3843,5625,3921
ENSG00000109113,5,3,6,4,6,7
ENSG00000109118,1764,1421,1408,1029,1527,1164
ENSG00000109132,0,0,0,0,0,0
ENSG00000109133,1162,918,919,824,1329,917
ENSG00000109158,0,0,0,0,0,0
ENSG00000109163,10,3,9,4,10,8
ENSG00000109171,1097,892,959,800,1272,935
ENSG00000109180,1743,1413,1365,1210,2035,1348
ENSG00000109181,0,0,0,0,0,0
ENSG00000109182,0,0,0,0,0,0
ENSG00000109184,1065,868,883,720,1166,851
ENSG00000109189,704,585,540,517,897,625
ENSG00000109193,0,0,0,0,0,0
ENSG00000109205,0,2,0,1,0,0
ENSG00000109208,0,0,0,0,0,0
ENSG00000109220,110,87,79,73,123,104
ENSG00000109255,70,77,76,56,95,62
ENSG00000109265,94,68,73,87,96,67
ENSG00000109270,785,571,617,581,937,650
ENSG00000109272,0,0,0,0,0,0
ENSG00000109320,1612,1214,1212,1157,1696,1187
ENSG00000109321,929,699,720,1169,2248,1449
ENSG00000109323,929,759,763,658,1071,777
ENSG00000109332,7071,5662,5874,4993,7929,5531
ENSG00000109339,25,32,16,19,25,28
ENSG00000109381,1094,831,818,666,1101,819
ENSG00000109390,2020,1565,1612,1387,2399,1646
ENSG00000109424,0,0,0,0,0,0
ENSG00000109436,2999,2392,2625,2334,3596,2774
ENSG00000109445,669,528,544,408,706,496
ENSG00000109452,1815,1563,1521,1585,2238,1596
ENSG00000109458,691,526,551,431,760,595
ENSG00000109466,442,315,354,343,530,411
ENSG00000109471,0,0,0,0,0,1
ENSG00000109472,12146,9139,9643,8752,13600,9636
ENSG00000109475,8856,7130,6874,5913,9429,6910
ENSG00000109501,1775,1250,1406,1353,1815,1352
ENSG00000109511,0,0,0,0,0,0
ENSG00000109519,1429,1065,1075,1031,1562,1042
ENSG00000109534,807,634,677,535,875,642
ENSG00000109536,423,376,336,278,491,359
ENSG00000109572,1354,1115,1140,1051,1485,1168
ENSG00000109576,323,251,236,227,311,263
ENSG00000109586,1835,1521,1556,1297,2045,1494
ENSG00000109606,5772,4737,4763,4216,6584,4684
ENSG00000109610,4,0,2,3,0,1
ENSG00000109618,256,226,222,134,301,201
ENSG00000109625,3,2,2,1,6,5
ENSG00000109654,849,626,692,593,889,604
ENSG00000109667,0,0,1,0,0,1
ENSG00000109670,737,604,543,560,816,609
ENSG00000109674,607,512,492,404,665,478
ENSG00000109680,51,31,46,35,48,30
ENSG00000109684,0,2,1,0,2,0
ENSG00000109685,5490,4338,4672,4121,6047,4614
ENSG00000109686,955,781,826,641,1016,745
ENSG00000109689,430,373,350,363,486,388
ENSG00000109705,23,15,12,9,17,7
ENSG00000109736,1863,1369,1648,1429,2114,1629
ENSG00000109738,0,0,1,0,0,0
ENSG00000109743,0,1,4,3,1,1
ENSG00000109756,760,609,626,615,847,655
ENSG00000109758,28,22,21,24,41,17
ENSG00000109762,290,233,231,233,355,269
ENSG00000109771,39,31,46,34,61,40
ENSG00000109775,389,313,317,233,384,323
ENSG00000109787,458,425,417,281,513,411
ENSG00000109790,365,289,306,268,427,311
ENSG00000109794,4,5,5,6,6,7
ENSG00000109805,1557,1400,1459,1098,1783,1332
ENSG00000109814,653,579,522,505,774,553
ENSG00000109819,0,0,0,1,0,0
ENSG00000109832,0,2,0,2,0,1
ENSG00000109846,1,0,0,1,0,0
ENSG00000109851,0,0,0,0,0,0
ENSG00000109854,2207,1861,1873,1601,2593,1860
ENSG00000109861,860,647,685,630,922,594
ENSG00000109881,1137,1027,951,763,1339,903
ENSG00000109906,0,0,0,0,0,0
ENSG00000109911,822,685,634,554,909,582
ENSG00000109917,1543,1212,1164,1252,1765,1259
ENSG00000109919,5481,4370,4280,3818,5993,4133
ENSG00000109920,4179,3483,3555,2963,4926,3658
ENSG00000109927,13,3,14,7,17,20
ENSG00000109929,1367,1096,984,864,1554,1084
ENSG00000109943,0,0,0,0,0,0
ENSG00000109944,125,95,111,82,135,95
ENSG00000109956,2,1,0,4,4,3
ENSG00000109971,64121,45935,47717,45424,66877,48522
ENSG00000109991,0,0,0,0,0,0
ENSG00000110002,54,57,49,48,77,39
ENSG00000110011,469,331,393,302,498,355
ENSG00000110013,1361,1100,1184,971,1622,1159
ENSG00000110025,38,23,19,16,20,11
ENSG00000110031,60,52,53,29,100,42
ENSG00000110042,157,130,111,88,128,91
ENSG00000110046,1246,1022,1113,1026,1414,1036
ENSG00000110047,2182,1602,1708,1541,2265,1706
ENSG00000110048,2383,1950,2108,1625,2561,1938
ENSG00000110057,546,401,490,434,551,420
ENSG00000110060,278,214,237,129,220,138
ENSG00000110063,583,472,469,416,603,509
ENSG00000110066,1540,1192,1142,1028,1686,1169
ENSG00000110074,1808,1425,1480,1338,1951,1441
ENSG00000110075,3603,2980,2960,2628,4104,2853
ENSG00000110076,7,5,1,2,1,1
ENSG00000110077,0,0,0,0,0,0
ENSG00000110079,0,0,0,0,0,0
ENSG00000110080,1854,1397,1451,1388,2110,1439
ENSG00000110090,5434,4241,4317,3890,6013,4428
ENSG00000110092,10093,8112,8417,7236,10921,8085
ENSG00000110104,1064,802,810,842,1098,772
ENSG00000110107,5528,4220,4144,4008,5770,3990
ENSG00000110108,2117,1592,1628,1566,2173,1582
ENSG00000110148,0,0,0,0,0,0
ENSG00000110169,58,56,32,48,72,53
ENSG00000110171,1068,821,991,784,1254,955
ENSG00000110172,1199,878,1012,735,1302,938
ENSG00000110195,105,82,57,76,112,53
ENSG00000110200,276,236,222,259,389,309
ENSG00000110203,0,1,1,0,0,1
ENSG00000110218,762,613,607,568,812,576
ENSG00000110237,966,840,964,791,1167,836
ENSG00000110243,3,8,3,3,1,2
ENSG00000110244,0,0,0,0,0,0
ENSG00000110245,18,3,6,4,8,7
ENSG00000110274,1575,1319,1411,1232,1836,1466
ENSG00000110315,994,811,838,679,1130,748
ENSG00000110318,43,41,38,31,55,37
ENSG00000110321,30387,25243,24535,22736,35335,25540
ENSG00000110324,20,25,22,17,29,16
ENSG00000110328,43,47,50,46,70,56
ENSG00000110330,773,598,618,548,915,658
ENSG00000110344,3847,3309,3069,2805,4281,3014
ENSG00000110367,8427,7150,7125,5999,9131,6639
ENSG00000110375,580,446,424,428,607,459
ENSG00000110395,3159,2537,2748,2378,4028,2950
ENSG00000110400,4525,3458,3930,3369,4798,3462
ENSG00000110422,2593,2138,2222,1943,2911,2186
ENSG00000110427,1,1,0,1,1,1
ENSG00000110429,1331,1155,1128,984,1569,1135
ENSG00000110435,1730,1331,1292,1224,1927,1426
ENSG00000110436,61,59,55,62,76,63
ENSG00000110442,748,533,587,490,826,604
ENSG00000110446,6,14,5,5,17,12
ENSG00000110448,13,5,13,11,5,10
ENSG00000110455,477,375,417,343,519,385
ENSG00000110484,0,0,0,0,0,0
ENSG00000110492,680,575,588,532,863,653
ENSG00000110497,1313,1001,1066,864,1355,928
ENSG00000110514,3206,2648,2753,2406,3651,2688
ENSG00000110536,120,118,106,91,135,106
ENSG00000110583,1714,1408,1425,1204,1860,1286
ENSG00000110619,1085,886,895,812,1303,898
ENSG00000110628,414,294,334,321,445,370
ENSG00000110651,3938,3173,3413,3222,4664,3417
ENSG00000110660,526,383,419,336,511,366
ENSG00000110665,0,0,0,0,0,0
ENSG00000110675,0,1,0,0,0,0
ENSG00000110680,0,0,0,0,0,0
ENSG00000110693,30,14,20,19,28,21
ENSG00000110696,6657,5450,5267,4732,7677,5383
ENSG00000110697,4,14,8,5,8,11
ENSG00000110700,15980,13201,12589,11342,18299,13028
ENSG00000110711,1359,942,1170,986,1524,1153
ENSG00000110713,3362,2724,2812,2294,3691,2723
ENSG00000110717,2269,1707,1995,1616,2545,1850
ENSG00000110719,321,237,281,295,374,224
ENSG00000110721,573,487,476,441,652,575
ENSG00000110723,151,125,123,75,152,108
ENSG00000110756,1228,954,982,781,1296,947
ENSG00000110768,2190,1826,1729,1693,2599,1697
ENSG00000110777,2,3,1,2,2,2
ENSG00000110786,0,0,0,0,0,0
ENSG00000110799,47,36,30,32,36,21
ENSG00000110801,115,110,118,97,142,103
ENSG00000110811,9,5,2,3,6,1
ENSG00000110841,1535,1355,1300,1196,1876,1303
ENSG00000110844,290,209,267,186,309,241
ENSG00000110848,0,0,0,0,0,0
ENSG00000110851,923,782,754,559,901,655
ENSG00000110852,0,0,0,0,0,0
ENSG00000110871,814,689,672,510,879,630
ENSG00000110876,2,1,1,1,3,1
ENSG00000110880,3581,2847,2822,2525,3903,2739
ENSG00000110881,208,149,175,178,235,150
ENSG00000110887,3,1,0,0,0,0
ENSG00000110888,486,428,417,345,535,440
ENSG00000110900,12,4,7,9,6,10
ENSG00000110906,1558,1203,1197,1129,1657,1257
ENSG00000110911,2345,2018,2069,1781,2677,1939
ENSG00000110917,6142,4748,4948,4474,6285,4762
ENSG00000110921,856,679,811,671,955,721
ENSG00000110925,1601,1331,1490,1095,1704,1149
ENSG00000110931,2003,1459,1714,1535,2198,1536
ENSG00000110934,21,16,28,13,14,15
ENSG00000110944,15,9,5,6,12,8
ENSG00000110955,41072,32306,32127,30529,45315,32341
ENSG00000110958,15150,12493,12503,10286,16156,11727
ENSG00000110975,16,10,13,8,19,5
ENSG00000110987,496,363,415,337,578,399
ENSG00000111011,2747,2232,2378,2155,3714,2729
ENSG00000111012,91,88,92,133,230,173
ENSG00000111046,0,0,0,0,0,0
ENSG00000111049,0,0,0,0,0,0
ENSG00000111052,1313,1077,1051,993,1553,1102
ENSG00000111057,84756,70807,69664,60300,89801,67847
ENSG00000111058,1586,1201,1255,1186,1882,1422
ENSG00000111077,658,517,635,527,826,609
ENSG00000111087,25,15,27,26,30,25
ENSG00000111110,1041,843,862,922,1231,927
ENSG00000111142,4219,3503,3297,2910,4892,3426
ENSG00000111144,1834,1627,1597,1363,2125,1528
ENSG00000111145,189,175,189,172,281,179
ENSG00000111181,0,1,1,0,2,0
ENSG00000111186,3,3,0,3,2,1
ENSG00000111196,1095,801,774,763,1175,776
ENSG00000111199,132,113,103,108,183,140
ENSG00000111203,688,507,497,469,767,500
ENSG00000111206,2784,2432,2550,2103,3191,2509
ENSG00000111215,30,27,21,31,27,31
ENSG00000111218,0,0,0,0,0,0
ENSG00000111224,58,49,56,41,76,63
ENSG00000111229,3391,2843,2610,2193,3738,2688
ENSG00000111231,866,745,703,683,1034,743
ENSG00000111237,1403,1200,1160,909,1554,994
ENSG00000111241,0,0,0,0,0,0
ENSG00000111245,0,0,0,0,0,0
ENSG00000111247,929,699,694,597,973,693
ENSG00000111249,0,0,1,0,1,1
ENSG00000111252,188,139,154,172,183,135
ENSG00000111254,0,4,5,1,2,0
ENSG00000111261,916,717,769,609,944,694
ENSG00000111262,0,0,0,0,0,0
ENSG00000111266,1755,1401,1537,1407,2230,1622
ENSG00000111269,1184,942,985,835,1368,980
ENSG00000111271,736,581,586,561,778,575
ENSG00000111275,39,45,27,28,39,20
ENSG00000111276,2562,2149,2365,1814,3187,2333
ENSG00000111291,21,9,18,17,22,16
ENSG00000111300,2554,2014,1886,1679,2810,1987
ENSG00000111305,0,4,0,1,1,0
ENSG00000111319,305,254,300,248,383,258
ENSG00000111321,1594,1261,1368,1105,1666,1294
ENSG00000111325,63,55,54,40,52,34
ENSG00000111328,1829,1428,1418,1304,2026,1535
ENSG00000111331,1114,924,974,871,1213,978
ENSG00000111335,1,5,2,3,6,2
ENSG00000111339,0,0,0,0,0,0
ENSG00000111341,2052,1582,1533,1246,2282,1555
ENSG00000111344,118,72,93,79,127,79
ENSG00000111348,24,11,15,15,26,16
ENSG00000111358,1540,1241,1273,1095,1796,1176
ENSG00000111361,1822,1366,1428,1198,1810,1311
ENSG00000111364,1369,1006,950,804,1247,891
ENSG00000111371,15052,12667,12640,11263,17899,12915
ENSG00000111404,7,1,3,4,5,2
ENSG00000111405,3,3,0,4,7,1
ENSG00000111412,1380,1110,1204,937,1591,1174
ENSG00000111424,1062,791,777,795,1134,809
ENSG00000111432,0,0,0,0,0,0
ENSG00000111445,1902,1464,1461,1303,2016,1420
ENSG00000111450,268,192,268,177,248,234
ENSG00000111452,47,34,32,14,31,24
ENSG00000111481,4559,3775,3638,3326,5201,3595
ENSG00000111490,2217,1855,1737,1476,2250,1541
ENSG00000111530,8716,7007,6918,5872,9263,6579
ENSG00000111536,0,0,0,0,0,0
ENSG00000111537,0,0,0,0,0,0
ENSG00000111540,3900,3152,3528,2640,4178,3437
ENSG00000111554,695,629,515,444,651,421
ENSG00000111581,3335,2665,2567,2236,3572,2466
ENSG00000111596,1869,1638,1511,1354,2193,1517
ENSG00000111602,7610,6033,5984,5493,8250,5847
ENSG00000111605,4300,3437,3515,3094,4986,3528
ENSG00000111615,1505,1264,1102,957,1698,1166
ENSG00000111639,3965,3545,3420,2959,4763,3492
ENSG00000111640,93047,75323,76618,68291,106871,76496
ENSG00000111641,3532,2820,2703,2263,3574,2361
ENSG00000111642,14233,11391,12086,10229,14951,11454
ENSG00000111644,15,9,5,5,12,7
ENSG00000111647,809,781,733,623,1006,740
ENSG00000111652,3079,2420,2463,2122,3272,2409
ENSG00000111653,340,311,366,217,406,298
ENSG00000111664,43,55,47,41,47,43
ENSG00000111665,2276,2162,2392,1537,2800,2262
ENSG00000111666,798,618,634,580,876,677
ENSG00000111667,5684,4773,4900,4502,6346,4789
ENSG00000111669,29304,23606,24306,21198,33439,23675
ENSG00000111670,1686,1408,1521,1283,1947,1424
ENSG00000111671,507,401,440,289,446,286
ENSG00000111674,1160,869,941,772,1217,912
ENSG00000111676,7192,5478,5937,5568,8005,5938
ENSG00000111678,607,449,506,422,707,525
ENSG00000111679,1389,1049,1195,1016,1599,1184
ENSG00000111684,253,238,276,248,337,266
ENSG00000111696,526,446,460,444,655,432
ENSG00000111700,0,0,0,0,0,0
ENSG00000111701,0,0,0,0,0,0
ENSG00000111704,0,0,1,1,0,1
ENSG00000111707,2473,1986,2145,1568,2740,1953
ENSG00000111711,971,786,761,729,1092,759
ENSG00000111713,0,0,0,0,0,0
ENSG00000111716,0,0,0,0,0,0
ENSG00000111725,924,707,707,645,983,675
ENSG00000111726,2263,1774,1761,1525,2345,1655
ENSG00000111727,465,398,374,311,452,330
ENSG00000111728,7,2,1,1,9,6
ENSG00000111729,4,6,1,2,4,5
ENSG00000111731,1303,1021,1077,875,1450,1113
ENSG00000111732,0,0,0,0,0,0
ENSG00000111737,2047,1602,1674,1392,2246,1591
ENSG00000111752,674,546,548,483,782,575
ENSG00000111775,1033,872,810,712,1144,826
ENSG00000111783,0,0,0,0,0,0
ENSG00000111785,520,409,351,350,570,404
ENSG00000111786,4223,3045,3544,3167,4584,3421
ENSG00000111790,1128,950,916,740,1261,903
ENSG00000111796,9,5,7,2,3,7
ENSG00000111799,658,550,603,503,750,632
ENSG00000111801,12,11,15,8,11,5
ENSG00000111802,1018,870,807,652,1022,714
ENSG00000111816,654,452,464,460,632,480
ENSG00000111817,190,158,149,148,190,156
ENSG00000111832,1247,982,927,785,1362,969
ENSG00000111834,4,2,6,13,8,6
ENSG00000111837,78,63,66,46,85,64
ENSG00000111843,2034,1645,1931,1408,2547,1745
ENSG00000111845,744,626,618,537,873,578
ENSG00000111846,48,24,45,22,53,51
ENSG00000111850,139,105,85,77,141,110
ENSG00000111859,113,104,103,225,376,233
ENSG00000111860,199,153,170,178,289,235
ENSG00000111863,1,0,0,0,0,0
ENSG00000111875,774,714,734,451,855,681
ENSG00000111877,788,571,539,489,736,475
ENSG00000111879,23,12,14,8,19,18
ENSG00000111880,1068,858,919,758,1176,849
ENSG00000111885,483,411,405,391,598,425
ENSG00000111886,8,8,10,7,14,9
ENSG00000111897,2548,2010,2053,1781,3065,2035
ENSG00000111906,1688,1348,1317,1115,1874,1341
ENSG00000111907,6550,5479,5256,4651,7934,5238
ENSG00000111911,1251,964,941,768,1294,863
ENSG00000111912,345,297,343,468,731,579
ENSG00000111913,1,1,0,0,0,0
ENSG00000111961,185,135,126,103,195,158
ENSG00000111962,759,528,564,500,750,575
ENSG00000111981,52,39,38,35,63,50
ENSG00000112029,1108,971,930,541,888,584
ENSG00000112031,567,411,481,371,644,448
ENSG00000112033,872,679,797,648,997,762
ENSG00000112038,0,0,0,0,0,0
ENSG00000112039,313,254,309,212,283,201
ENSG00000112041,12,7,10,5,14,12
ENSG00000112053,0,0,0,1,0,0
ENSG00000112062,2320,1802,1891,1601,2546,1812
ENSG00000112077,1,1,0,0,0,0
ENSG00000112078,2353,1990,1936,1582,2499,1703
ENSG00000112079,1499,1287,1292,1062,1614,1222
ENSG00000112081,10538,8612,8375,7891,12794,8737
ENSG00000112096,2584,1825,1892,1744,2655,1914
ENSG00000112110,1527,1235,1231,1081,1730,1254
ENSG00000112115,0,0,0,0,0,0
ENSG00000112116,0,0,0,0,0,0
ENSG00000112118,8706,6238,6102,6104,8860,5980
ENSG00000112130,556,339,404,292,501,371
ENSG00000112137,7,5,5,9,6,9
ENSG00000112139,14,2,5,8,20,8
ENSG00000112144,733,632,650,470,943,653
ENSG00000112146,1755,1373,1314,1156,1837,1263
ENSG00000112149,104,101,76,84,98,60
ENSG00000112159,3551,2813,2955,2563,3729,2701
ENSG00000112164,0,0,0,0,0,0
ENSG00000112167,222,177,196,169,237,158
ENSG00000112175,761,600,597,527,896,646
ENSG00000112182,7,1,0,0,1,1
ENSG00000112183,405,381,288,331,518,396
ENSG00000112186,1597,1279,1097,1119,1777,1226
ENSG00000112195,0,0,0,0,0,0
ENSG00000112200,982,716,721,588,905,646
ENSG00000112208,1008,864,882,686,996,760
ENSG00000112210,314,221,225,200,315,201
ENSG00000112212,0,0,2,1,3,2
ENSG00000112214,0,0,0,0,0,0
ENSG00000112218,43,36,26,35,41,40
ENSG00000112232,0,0,0,0,0,0
ENSG00000112234,558,478,478,354,614,393
ENSG00000112237,2081,1668,1629,1289,2369,1708
ENSG00000112238,0,0,0,0,0,0
ENSG00000112242,1369,1078,1114,994,1703,1117
ENSG00000112245,7487,5912,5472,8723,13717,9266
ENSG00000112246,0,0,0,1,0,0
ENSG00000112249,2003,1695,1510,1506,2324,1599
ENSG00000112273,0,0,0,0,0,0
ENSG00000112276,0,1,0,0,2,0
ENSG00000112280,0,0,0,0,0,0
ENSG00000112282,929,788,771,646,1052,732
ENSG00000112290,536,409,445,422,598,438
ENSG00000112293,49,38,53,30,49,36
ENSG00000112294,1853,1422,1401,1323,1928,1392
ENSG00000112297,3152,2632,2695,2294,3525,2496
ENSG00000112299,0,0,0,0,0,0
ENSG00000112303,1,0,0,0,0,0
ENSG00000112304,408,304,368,273,437,345
ENSG00000112305,238,240,225,215,327,225
ENSG00000112306,23313,17899,18150,16495,25494,18019
ENSG00000112308,4321,3334,3409,3224,4835,3525
ENSG00000112309,14,5,3,21,25,20
ENSG00000112312,1715,1359,1266,1061,1696,1275
ENSG00000112319,0,0,0,0,0,0
ENSG00000112320,129,105,113,88,144,104
ENSG00000112333,1,1,0,0,0,0
ENSG00000112335,2811,2260,2209,1963,3132,2301
ENSG00000112337,0,0,0,0,0,0
ENSG00000112339,1975,1581,1611,1380,2265,1575
ENSG00000112343,207,160,189,128,219,192
ENSG00000112357,337,263,303,270,386,288
ENSG00000112365,508,430,405,268,401,330
ENSG00000112367,385,320,364,288,476,365
ENSG00000112378,5975,4647,4704,4375,6749,4837
ENSG00000112379,3896,3224,3400,2925,4375,3173
ENSG00000112394,55,38,31,31,46,33
ENSG00000112406,374,350,410,340,616,459
ENSG00000112414,1879,1471,1719,1407,2281,1619
ENSG00000112419,822,644,616,632,964,656
ENSG00000112425,128,111,97,104,166,96
ENSG00000112462,0,0,0,0,0,0
ENSG00000112473,5238,4246,4329,4027,5879,4335
ENSG00000112486,0,0,0,1,1,0
ENSG00000112494,0,0,0,0,1,0
ENSG00000112499,0,0,0,0,0,0
ENSG00000112511,1215,845,1030,1188,1890,1387
ENSG00000112514,1747,1447,1533,1304,2022,1484
ENSG00000112530,5,0,3,0,1,2
ENSG00000112531,1226,1060,1131,1008,1674,1212
ENSG00000112539,0,1,1,0,2,0
ENSG00000112541,183,126,166,144,256,149
ENSG00000112559,0,0,0,0,1,0
ENSG00000112561,23,10,29,19,18,27
ENSG00000112562,73,52,65,53,72,52
ENSG00000112576,2603,1810,1857,1920,2486,1691
ENSG00000112578,1444,1247,1061,1130,1656,1151
ENSG00000112584,1886,1447,1438,1126,1792,1252
ENSG00000112592,695,555,550,512,741,554
ENSG00000112599,28,16,24,13,27,17
ENSG00000112619,0,2,0,1,1,1
ENSG00000112624,673,569,582,516,751,561
ENSG00000112640,1283,1162,1271,976,1448,1145
ENSG00000112651,949,748,777,664,986,730
ENSG00000112655,741,638,666,617,850,645
ENSG00000112658,1954,1476,1600,2986,4286,3012
ENSG00000112659,1267,896,1025,1002,1409,1035
ENSG00000112667,1529,1050,1253,1197,1711,1220
ENSG00000112679,201,105,159,119,218,157
ENSG00000112685,654,578,616,487,762,565
ENSG00000112695,3482,2979,2867,2534,4143,3020
ENSG00000112697,3422,2785,2695,2313,3795,2712
ENSG00000112699,769,601,664,630,857,573
ENSG00000112701,2517,1992,2035,1776,2940,2137
ENSG00000112706,35,14,17,18,24,21
ENSG00000112715,1925,1578,1687,1359,2294,1637
ENSG00000112739,3821,2944,2956,2649,4393,3196
ENSG00000112742,1282,1228,1369,928,1713,1341
ENSG00000112759,1797,1266,1284,1253,1771,1271
ENSG00000112761,0,1,0,1,2,0
ENSG00000112763,627,495,525,426,649,539
ENSG00000112769,0,0,0,0,0,0
ENSG00000112773,1811,1433,1294,1315,2245,1373
ENSG00000112782,0,0,1,0,3,0
ENSG00000112787,2717,1787,2115,2261,2820,2041
ENSG00000112796,132,112,117,66,113,86
ENSG00000112799,0,0,0,0,0,0
ENSG00000112812,298,255,284,218,335,261
ENSG00000112818,0,0,0,0,0,0
