,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAADRAAPEI-223-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAERAAPEI-225-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAFRAAPEI-227-counts.tsv
ENSG00000124557,2,0,0,0,0,5
ENSG00000124562,2952,2172,2275,2254,2642,2431
ENSG00000124564,0,0,0,0,0,1
ENSG00000124568,0,0,0,0,0,0
ENSG00000124570,2136,1737,1829,1780,2163,1902
ENSG00000124571,3446,2715,2681,2823,3279,2849
ENSG00000124574,742,539,669,534,661,573
ENSG00000124575,7,7,8,7,18,9
ENSG00000124587,196,143,165,167,147,183
ENSG00000124588,2227,1783,1790,1818,2162,1831
ENSG00000124593,51,36,50,38,55,55
ENSG00000124596,819,627,652,684,831,730
ENSG00000124602,6,13,7,8,9,9
ENSG00000124608,1060,798,820,882,984,879
ENSG00000124610,0,0,0,0,0,0
ENSG00000124613,74,46,73,67,81,67
ENSG00000124614,226,191,151,160,208,168
ENSG00000124615,242,176,218,177,210,204
ENSG00000124635,350,269,276,288,362,287
ENSG00000124641,585,453,561,461,525,515
ENSG00000124657,8,11,13,9,17,7
ENSG00000124659,608,489,516,432,445,372
ENSG00000124664,5673,4464,5149,4620,5123,4914
ENSG00000124678,0,0,0,0,0,0
ENSG00000124688,611,531,574,450,572,452
ENSG00000124701,2,2,3,1,1,4
ENSG00000124702,2200,1660,1969,1688,2096,2021
ENSG00000124713,20,23,26,18,29,17
ENSG00000124721,0,0,0,0,0,0
ENSG00000124731,0,0,0,0,0,1
ENSG00000124733,2147,1825,1831,1758,2116,1936
ENSG00000124743,46,40,24,37,49,31
ENSG00000124749,6,5,3,6,6,3
ENSG00000124762,5170,3653,3699,4158,4710,3741
ENSG00000124766,1802,1522,1758,1414,1725,1607
ENSG00000124767,4801,3974,3828,3862,4766,4130
ENSG00000124772,1,0,1,0,3,1
ENSG00000124780,0,0,0,0,0,0
ENSG00000124782,1269,1013,1161,1078,1190,1092
ENSG00000124783,4900,4107,3985,4059,4445,4213
ENSG00000124784,774,625,598,611,667,578
ENSG00000124785,1,0,0,1,1,0
ENSG00000124786,494,408,414,401,463,405
ENSG00000124787,504,393,373,387,449,390
ENSG00000124788,1099,898,970,781,953,911
ENSG00000124789,3393,2768,2720,2679,3060,2701
ENSG00000124795,6467,5131,5175,5372,5992,5435
ENSG00000124802,280,215,201,225,223,205
ENSG00000124812,6,2,2,1,7,4
ENSG00000124813,300,257,261,278,311,304
ENSG00000124818,0,0,0,0,0,0
ENSG00000124827,2,1,0,1,1,1
ENSG00000124831,2587,2148,2285,2132,2586,2384
ENSG00000124839,1183,909,1031,899,1132,1042
ENSG00000124875,0,0,0,0,0,0
ENSG00000124882,17,16,13,26,23,17
ENSG00000124900,0,0,0,0,0,0
ENSG00000124920,41,41,33,51,45,41
ENSG00000124935,0,1,0,0,0,0
ENSG00000124939,0,0,0,0,0,1
ENSG00000124942,20089,17159,18302,15966,19370,19053
ENSG00000125037,2757,2325,2159,2270,2672,2256
ENSG00000125046,26,16,18,19,19,31
ENSG00000125084,0,0,0,0,0,2
ENSG00000125089,147,129,100,114,129,116
ENSG00000125107,10302,8142,8384,8219,9628,8494
ENSG00000125122,49,22,40,24,39,38
ENSG00000125124,669,595,571,626,653,582
ENSG00000125144,0,0,0,0,0,0
ENSG00000125148,3574,2884,3254,2890,3827,3358
ENSG00000125149,661,510,515,532,548,493
ENSG00000125166,4845,4434,4084,4290,4956,4564
ENSG00000125170,265,175,202,217,229,246
ENSG00000125207,0,0,0,0,1,0
ENSG00000125245,3,1,0,0,0,0
ENSG00000125246,80,59,63,57,64,50
ENSG00000125247,338,274,300,282,307,303
ENSG00000125249,702,503,567,526,638,616
ENSG00000125255,0,0,0,0,0,0
ENSG00000125257,13,9,8,14,16,23
ENSG00000125266,900,657,675,720,830,617
ENSG00000125285,0,0,0,0,0,0
ENSG00000125304,3920,3271,3391,3246,3657,3604
ENSG00000125319,302,268,246,227,295,277
ENSG00000125337,0,0,2,2,1,2
ENSG00000125347,202,165,154,185,239,187
ENSG00000125351,1468,1176,1129,1105,1387,1097
ENSG00000125352,497,379,388,340,353,306
ENSG00000125354,32,17,24,25,31,22
ENSG00000125355,2,1,0,1,0,0
ENSG00000125356,4318,3631,3482,3506,4154,3549
ENSG00000125363,19,13,14,18,14,13
ENSG00000125375,571,477,501,455,585,481
ENSG00000125378,397,297,381,297,326,386
ENSG00000125384,34,16,19,18,25,17
ENSG00000125386,691,621,612,535,657,558
ENSG00000125388,61,44,51,55,47,55
ENSG00000125398,751,555,566,488,506,411
ENSG00000125409,2,1,0,0,0,0
ENSG00000125414,0,0,0,0,0,0
ENSG00000125430,61,43,40,47,62,59
ENSG00000125434,114,113,125,83,157,132
ENSG00000125445,2031,1607,1598,1662,1903,1651
ENSG00000125447,1127,829,916,826,1016,908
ENSG00000125449,257,190,208,186,209,170
ENSG00000125450,2161,1588,1758,1713,2013,1675
ENSG00000125454,333,272,308,256,291,256
ENSG00000125457,498,427,476,435,493,419
ENSG00000125458,407,303,331,295,366,289
ENSG00000125459,574,506,500,475,581,511
ENSG00000125462,5,3,2,5,0,8
ENSG00000125482,844,688,620,622,717,605
ENSG00000125484,3150,2572,2408,2063,2573,2156
ENSG00000125485,1089,879,932,861,1069,852
ENSG00000125492,1,0,1,0,2,0
ENSG00000125498,0,0,0,0,0,0
ENSG00000125503,2017,1416,1663,1644,2018,1683
ENSG00000125505,4645,3445,3909,3758,4389,4080
ENSG00000125508,49,25,33,19,30,22
ENSG00000125510,20,10,8,10,11,14
ENSG00000125520,7190,5233,5901,5442,6661,5875
ENSG00000125522,0,0,0,0,0,0
ENSG00000125531,9,6,6,5,8,3
ENSG00000125533,0,0,0,0,0,0
ENSG00000125534,11007,8099,9888,8843,10643,9650
ENSG00000125538,0,0,0,0,0,1
ENSG00000125551,3,4,1,3,3,2
ENSG00000125571,0,1,2,1,0,0
ENSG00000125611,684,578,706,592,765,635
ENSG00000125618,171,114,144,116,158,146
ENSG00000125629,517,374,339,364,413,420
ENSG00000125630,1634,1316,1260,1133,1318,1119
ENSG00000125633,1207,935,1001,894,1048,970
ENSG00000125637,926,689,704,698,830,625
ENSG00000125648,978,868,981,769,950,822
ENSG00000125650,33,18,21,21,28,32
ENSG00000125651,1880,1408,1506,1412,1634,1472
ENSG00000125652,668,438,568,502,540,521
ENSG00000125656,1421,1007,1082,1123,1247,1132
ENSG00000125657,32,34,30,48,59,57
ENSG00000125675,0,0,0,0,0,0
ENSG00000125676,4789,3969,3739,3674,4341,3899
ENSG00000125686,1455,1281,1258,1276,1454,1296
ENSG00000125691,16056,13060,12603,13482,15044,12892
ENSG00000125703,292,255,231,196,262,305
ENSG00000125726,0,0,0,2,1,1
ENSG00000125730,13,10,14,4,10,19
ENSG00000125731,540,394,391,398,502,436
ENSG00000125733,174,183,200,155,190,205
ENSG00000125734,622,557,591,576,613,613
ENSG00000125735,0,0,0,0,0,0
ENSG00000125740,25,58,45,4032,5671,4426
ENSG00000125741,921,731,776,748,822,718
ENSG00000125743,5117,4246,4280,4210,4965,4511
ENSG00000125744,108,96,121,114,98,137
ENSG00000125746,751,583,698,551,736,687
ENSG00000125753,2164,1665,1989,1725,2047,1910
ENSG00000125755,2717,2172,2362,2239,2593,2315
ENSG00000125772,261,227,181,223,236,209
ENSG00000125775,33,33,36,29,35,35
ENSG00000125779,737,584,567,576,666,565
ENSG00000125780,0,0,0,0,0,0
ENSG00000125787,5,3,2,7,4,7
ENSG00000125788,0,0,0,0,2,2
ENSG00000125798,5,8,9,3,2,1
ENSG00000125810,0,0,0,0,0,0
ENSG00000125812,885,671,683,662,673,665
ENSG00000125813,0,0,0,0,0,0
ENSG00000125814,586,475,442,468,521,484
ENSG00000125815,0,0,0,0,0,0
ENSG00000125816,0,0,0,0,0,0
ENSG00000125817,6736,4867,5429,4959,5900,5053
ENSG00000125818,2155,1725,1636,1728,1974,1758
ENSG00000125820,24,20,21,17,16,26
ENSG00000125821,1702,1294,1264,1377,1602,1368
ENSG00000125823,3,0,0,0,0,0
ENSG00000125826,1732,1229,1437,1335,1549,1303
ENSG00000125827,2410,2041,1844,2046,2271,1923
ENSG00000125831,0,0,0,0,0,0
ENSG00000125834,1073,845,872,830,899,867
ENSG00000125835,4598,3389,3638,3683,4384,3687
ENSG00000125841,35,20,32,32,35,22
ENSG00000125843,514,459,414,420,454,348
ENSG00000125844,5277,4210,4461,4341,5133,4390
ENSG00000125845,0,1,0,0,0,0
ENSG00000125846,431,332,355,337,366,353
ENSG00000125848,8,9,8,7,12,4
ENSG00000125850,158,97,133,98,130,130
ENSG00000125851,0,0,1,0,0,2
ENSG00000125861,0,0,0,0,0,0
ENSG00000125863,1447,1128,1127,1043,1368,1090
ENSG00000125864,71,55,38,53,44,32
ENSG00000125868,9817,8081,7937,8287,9548,8552
ENSG00000125869,0,0,0,0,0,0
ENSG00000125870,2476,1989,1888,2036,2355,2014
ENSG00000125871,1556,1203,1194,1188,1356,1179
ENSG00000125872,0,6,3,1,10,3
ENSG00000125875,1032,833,990,831,948,863
ENSG00000125877,822,649,636,653,793,618
ENSG00000125878,0,0,0,0,0,0
ENSG00000125879,2,0,0,1,0,0
ENSG00000125885,1604,1276,1336,1248,1449,1306
ENSG00000125888,0,0,0,0,0,0
ENSG00000125895,1,4,4,3,6,0
ENSG00000125898,650,436,550,429,508,466
ENSG00000125900,0,0,0,0,0,0
ENSG00000125901,1681,1201,1361,1260,1425,1242
ENSG00000125903,0,0,0,0,0,0
ENSG00000125910,0,0,2,0,0,0
ENSG00000125912,2880,1984,2265,2310,2453,2275
ENSG00000125931,6,13,8,14,13,8
ENSG00000125944,7636,6246,6256,6287,7485,6532
ENSG00000125945,662,538,517,315,488,435
ENSG00000125952,803,668,717,657,764,620
ENSG00000125954,0,0,0,0,0,0
ENSG00000125962,372,311,255,334,343,361
ENSG00000125965,6,2,5,5,3,2
ENSG00000125966,28,19,18,22,36,23
ENSG00000125967,2442,1781,2054,2061,2375,2014
ENSG00000125968,405,302,406,225,258,223
ENSG00000125970,4380,3293,3539,3541,4221,3616
ENSG00000125971,1664,1375,1248,1370,1521,1292
ENSG00000125975,0,0,0,0,0,0
ENSG00000125977,4502,3735,3783,3465,4294,3712
ENSG00000125991,5167,4095,4243,4215,5081,4439
ENSG00000125995,2408,1890,2046,1951,2230,1980
ENSG00000125998,1,0,0,0,0,0
ENSG00000125999,1,2,0,0,0,2
ENSG00000126001,1756,1418,1526,1385,1673,1463
ENSG00000126003,1147,862,847,825,1074,882
ENSG00000126005,304,192,211,179,233,196
ENSG00000126010,27,13,13,21,12,16
ENSG00000126012,4603,3772,4041,3878,4459,4108
ENSG00000126016,346,297,313,289,345,339
ENSG00000126062,640,462,460,480,555,464
ENSG00000126067,5801,4822,4817,4951,5654,5093
ENSG00000126070,804,594,646,627,717,668
ENSG00000126088,1042,795,816,801,932,869
ENSG00000126091,156,110,140,108,149,134
ENSG00000126106,125,87,116,78,116,108
ENSG00000126107,758,596,718,575,690,603
ENSG00000126214,1492,1102,1243,1207,1456,1213
ENSG00000126215,1194,873,887,967,1086,896
ENSG00000126216,1048,807,787,816,965,813
ENSG00000126217,789,594,737,707,819,782
ENSG00000126218,4,3,4,3,7,3
ENSG00000126226,1004,807,849,822,1032,895
ENSG00000126231,31,16,18,17,29,16
ENSG00000126233,6,4,4,6,1,9
ENSG00000126243,165,120,115,118,114,124
ENSG00000126246,6,5,10,5,3,5
ENSG00000126247,9856,8152,7955,8096,9744,8447
ENSG00000126249,65,56,64,63,48,53
ENSG00000126251,0,0,0,0,0,0
ENSG00000126254,2498,1941,2147,2159,2379,2088
ENSG00000126259,0,1,0,1,0,0
ENSG00000126261,4671,3778,3613,3841,4344,3897
ENSG00000126262,92,86,66,61,82,65
ENSG00000126264,0,0,0,0,0,0
ENSG00000126266,6,2,2,6,3,0
ENSG00000126267,4159,3573,3464,3355,4178,3464
ENSG00000126337,0,1,2,0,0,1
ENSG00000126351,352,324,378,352,416,414
ENSG00000126353,29,23,31,34,31,30
ENSG00000126368,121,77,101,82,89,77
ENSG00000126391,1184,842,931,934,1080,891
ENSG00000126432,3570,2946,3070,2986,3511,3186
ENSG00000126453,1381,1098,1259,1122,1454,1145
ENSG00000126456,2549,1897,2172,2068,2524,2234
ENSG00000126457,8095,5999,6476,6563,7888,6490
ENSG00000126458,473,348,392,331,413,375
ENSG00000126460,29,26,30,25,28,30
ENSG00000126461,2482,1740,2140,1995,2148,2033
ENSG00000126464,1137,804,974,927,1057,924
ENSG00000126467,0,0,0,0,0,0
ENSG00000126500,24,15,16,20,28,24
ENSG00000126522,522,450,499,430,567,500
ENSG00000126524,1823,1452,1283,1498,1744,1443
ENSG00000126545,0,0,0,0,0,0
ENSG00000126549,0,0,0,0,0,0
ENSG00000126550,0,0,1,1,0,0
ENSG00000126561,12,1,5,10,10,3
ENSG00000126562,14,9,17,7,11,8
ENSG00000126581,920,720,711,748,847,802
ENSG00000126583,8,10,10,4,10,7
ENSG00000126602,4222,3384,3277,3428,4006,3278
ENSG00000126603,587,490,509,435,554,517
ENSG00000126653,652,577,466,473,591,473
ENSG00000126698,3341,2680,2664,2732,3113,2743
ENSG00000126705,929,715,866,759,783,785
ENSG00000126709,150,115,122,118,131,110
ENSG00000126733,0,0,0,0,0,0
ENSG00000126746,1049,841,889,935,989,903
ENSG00000126749,266,267,218,219,286,222
ENSG00000126752,2,0,1,0,0,0
ENSG00000126756,851,734,675,707,798,687
ENSG00000126759,41,29,33,28,31,29
ENSG00000126767,1945,1515,1684,1739,1988,1786
ENSG00000126768,2031,1504,1659,1594,2021,1620
ENSG00000126773,1706,1320,1328,1438,1534,1386
ENSG00000126775,522,437,377,381,437,327
ENSG00000126777,10345,8255,8082,8719,10021,9070
ENSG00000126778,346,305,347,239,316,280
ENSG00000126785,0,0,0,0,0,0
ENSG00000126787,2014,1939,2131,1715,2273,2410
ENSG00000126790,300,228,265,256,292,254
ENSG00000126803,254,217,250,211,274,266
ENSG00000126804,1083,895,859,868,918,918
ENSG00000126814,723,617,576,590,688,565
ENSG00000126821,631,517,500,577,574,527
ENSG00000126822,1835,1532,1651,1583,1816,1652
ENSG00000126838,0,0,1,0,0,1
ENSG00000126856,8,7,3,2,7,2
ENSG00000126858,626,490,498,576,607,515
ENSG00000126860,1,4,1,1,3,2
ENSG00000126861,3,2,0,3,4,4
ENSG00000126870,815,674,742,679,720,751
ENSG00000126878,4273,3303,3485,3394,4079,3436
ENSG00000126882,86,65,69,85,71,57
ENSG00000126883,2718,2194,2167,2087,2394,2077
ENSG00000126890,1,0,0,0,0,0
ENSG00000126895,4,6,3,3,3,0
ENSG00000126903,2596,1707,1946,1970,2213,1876
ENSG00000126934,5606,4258,5026,4683,5447,4984
ENSG00000126945,3982,3307,3070,3189,3896,3474
ENSG00000126947,155,166,166,111,135,143
ENSG00000126950,0,0,0,0,1,0
ENSG00000126952,0,0,0,0,0,0
ENSG00000126953,1172,982,966,942,1165,889
ENSG00000126970,2,2,1,4,1,1
ENSG00000127022,24184,19929,19147,19576,22515,20029
ENSG00000127054,2390,1646,1836,1802,2227,1878
ENSG00000127074,0,0,0,0,0,0
ENSG00000127080,519,383,424,378,526,361
ENSG00000127081,198,140,189,171,197,163
ENSG00000127083,0,0,0,0,0,1
ENSG00000127084,102,81,92,89,87,80
ENSG00000127124,527,377,425,434,512,477
ENSG00000127125,1457,1081,1052,1062,1221,1070
ENSG00000127129,39,17,17,22,29,19
ENSG00000127152,56,67,71,56,72,57
ENSG00000127184,6418,5224,5221,5483,6164,5251
ENSG00000127191,1427,1080,1223,1018,1273,1205
ENSG00000127220,38,34,37,38,30,40
ENSG00000127241,0,0,0,0,0,0
ENSG00000127249,1,1,0,0,0,1
ENSG00000127252,0,0,0,0,0,0
ENSG00000127311,207,189,175,194,192,211
ENSG00000127314,2427,2015,1828,2046,2318,2055
ENSG00000127318,0,0,0,0,0,0
ENSG00000127324,0,0,1,0,0,1
ENSG00000127325,0,2,0,0,1,0
ENSG00000127328,629,505,479,571,647,538
ENSG00000127329,1,1,1,0,0,0
ENSG00000127334,1687,1442,1413,1304,1520,1232
ENSG00000127337,411,364,300,372,391,337
ENSG00000127362,0,2,0,0,0,0
ENSG00000127364,22,22,32,12,13,21
ENSG00000127366,28,22,18,23,25,24
ENSG00000127377,0,1,1,0,2,5
ENSG00000127399,155,142,159,138,161,162
ENSG00000127412,0,0,0,0,2,0
ENSG00000127415,398,206,284,284,362,287
ENSG00000127418,519,328,352,434,424,420
ENSG00000127419,286,170,223,232,269,211
ENSG00000127423,381,316,298,254,407,308
ENSG00000127445,1439,1065,1191,1172,1374,1132
ENSG00000127452,435,350,340,337,344,360
ENSG00000127463,2858,2403,2359,2386,2839,2356
ENSG00000127472,0,0,0,0,0,0
ENSG00000127481,7690,6382,6478,6394,7540,6610
ENSG00000127483,7527,6401,6584,5942,7118,6750
ENSG00000127507,15,6,7,4,11,16
ENSG00000127511,3665,2817,3031,2994,3564,3028
ENSG00000127515,0,0,0,0,0,0
ENSG00000127526,1987,1549,1557,1714,1834,1639
ENSG00000127527,2134,1652,1626,1620,1898,1651
ENSG00000127528,57,43,48,77,102,75
ENSG00000127529,0,0,0,0,0,0
ENSG00000127530,0,0,0,0,0,0
ENSG00000127533,1,2,0,0,0,1
ENSG00000127540,171,168,157,133,183,144
ENSG00000127554,791,521,639,631,661,553
ENSG00000127561,219,158,215,162,234,199
ENSG00000127564,3897,2654,2822,3189,3632,2961
ENSG00000127578,44,17,33,30,46,24
ENSG00000127580,450,349,399,357,458,348
ENSG00000127585,896,651,824,652,812,811
ENSG00000127586,4505,2932,3752,3681,4225,3611
ENSG00000127588,106,96,100,97,149,79
ENSG00000127603,2349,1886,1959,1822,2209,2111
ENSG00000127616,9722,7475,8134,7685,9001,8058
ENSG00000127663,1156,864,943,902,911,995
ENSG00000127666,228,188,200,171,247,163
ENSG00000127720,97,94,73,102,118,83
ENSG00000127743,3,2,1,1,1,3
ENSG00000127774,50,36,41,33,52,48
ENSG00000127780,0,0,0,0,0,0
ENSG00000127804,707,596,627,630,633,569
ENSG00000127824,205,150,162,151,203,157
ENSG00000127831,28,17,16,24,24,11
ENSG00000127837,5567,4443,4735,4667,5545,4764
ENSG00000127838,2947,2388,2427,2291,2855,2454
ENSG00000127863,39,35,21,30,24,26
ENSG00000127870,1437,1174,1137,1165,1257,1060
ENSG00000127884,6374,4868,5234,5284,5991,5308
ENSG00000127903,0,0,0,0,0,1
ENSG00000127914,1825,1491,1499,1490,1813,1670
ENSG00000127920,0,0,1,2,0,1
ENSG00000127922,2134,1709,1657,1768,1998,1772
ENSG00000127928,15,7,9,9,14,9
ENSG00000127946,1383,1155,1243,1192,1311,1262
ENSG00000127947,1477,1300,1376,1284,1489,1405
ENSG00000127948,2905,2207,2300,2271,2723,2510
ENSG00000127951,0,1,1,0,2,3
ENSG00000127952,701,527,535,516,623,598
ENSG00000127954,1,0,1,1,7,7
ENSG00000127955,42,36,33,34,52,49
ENSG00000127980,848,748,707,696,900,763
ENSG00000127989,309,266,228,309,348,311
ENSG00000127990,612,539,488,514,666,577
ENSG00000127993,213,204,206,185,199,182
ENSG00000127995,492,331,354,397,469,459
ENSG00000128000,304,263,258,234,283,251
ENSG00000128011,95,65,94,84,79,97
ENSG00000128016,938,757,873,2118,2649,2251
ENSG00000128039,347,318,247,310,331,302
ENSG00000128040,2,4,3,4,2,3
ENSG00000128045,52,43,31,15,23,19
ENSG00000128050,9377,7384,7184,7637,8781,7442
ENSG00000128052,1,0,1,0,0,0
ENSG00000128059,1289,964,933,1009,1128,1024
ENSG00000128159,1725,1258,1400,1373,1636,1365
ENSG00000128165,142,136,130,91,127,157
ENSG00000128185,1301,952,995,1001,1308,1024
ENSG00000128191,1606,1161,1131,1140,1359,983
ENSG00000128203,7,9,10,9,12,16
ENSG00000128218,4,8,4,5,7,2
ENSG00000128228,1069,690,905,845,931,834
ENSG00000128242,6,2,0,1,0,1
ENSG00000128245,3322,2626,2696,2584,2904,2623
ENSG00000128250,0,0,0,0,0,0
ENSG00000128253,0,2,0,0,1,0
ENSG00000128266,250,186,201,215,233,179
ENSG00000128268,8,8,3,9,8,4
ENSG00000128271,4,5,5,3,2,4
ENSG00000128272,7485,6228,6317,6268,7452,6600
ENSG00000128274,903,653,638,720,782,689
ENSG00000128276,0,0,0,0,0,1
ENSG00000128283,248,171,193,197,231,254
ENSG00000128284,0,1,0,1,1,1
ENSG00000128285,1,2,1,1,0,1
ENSG00000128294,323,219,241,289,280,284
ENSG00000128298,66,51,64,57,68,69
ENSG00000128309,1531,1039,1391,1141,1342,1375
ENSG00000128310,4,3,4,1,3,6
ENSG00000128311,1900,1402,1514,1522,1797,1522
ENSG00000128313,0,0,0,0,0,0
ENSG00000128322,0,0,0,0,0,1
ENSG00000128335,306,234,258,231,248,242
ENSG00000128340,0,1,0,0,1,0
ENSG00000128342,139,92,102,107,146,106
ENSG00000128346,9,3,4,5,16,6
ENSG00000128383,5,2,5,8,9,6
ENSG00000128394,26,34,19,26,17,36
ENSG00000128408,252,169,162,217,232,138
ENSG00000128422,10,7,4,7,19,4
ENSG00000128463,1269,1042,1079,1070,1293,1188
ENSG00000128482,2,3,1,1,4,5
ENSG00000128487,1016,799,832,802,876,768
ENSG00000128510,8,5,4,6,12,18
ENSG00000128512,15,7,8,17,16,13
ENSG00000128513,308,231,268,258,283,277
ENSG00000128519,0,0,0,0,0,0
ENSG00000128524,1007,791,831,749,989,789
ENSG00000128534,987,812,784,938,974,828
ENSG00000128536,16,12,23,16,19,25
ENSG00000128563,985,766,693,788,911,699
ENSG00000128564,2333,1523,1721,1783,1882,1709
ENSG00000128567,1159,905,934,918,1148,952
ENSG00000128573,0,1,4,1,2,1
ENSG00000128578,138,98,106,115,129,62
ENSG00000128581,697,603,605,579,736,588
ENSG00000128585,702,648,587,574,744,714
ENSG00000128590,493,328,372,433,459,477
ENSG00000128591,0,0,0,1,0,0
ENSG00000128594,0,5,1,3,3,1
ENSG00000128595,3498,2873,2789,2917,3445,2885
ENSG00000128596,25,21,20,17,22,14
ENSG00000128602,0,0,0,0,4,0
ENSG00000128604,213,207,192,214,220,182
ENSG00000128606,0,1,3,0,0,0
ENSG00000128607,822,781,823,774,936,804
ENSG00000128609,1049,877,790,882,896,913
ENSG00000128610,0,0,0,0,0,0
ENSG00000128617,20,18,12,15,22,11
ENSG00000128626,2029,1571,1601,1635,1845,1467
ENSG00000128641,4331,3261,3245,3544,4097,3293
ENSG00000128645,0,0,1,0,2,0
ENSG00000128652,0,0,0,0,0,0
ENSG00000128654,1151,876,831,930,1052,962
ENSG00000128655,2,0,4,1,1,3
ENSG00000128656,651,615,575,602,675,637
ENSG00000128683,67,36,50,45,59,34
ENSG00000128694,214,160,189,135,232,164
ENSG00000128699,947,806,756,791,969,796
ENSG00000128708,3409,2787,2795,2797,3340,2834
ENSG00000128709,0,0,0,0,0,0
ENSG00000128710,0,0,0,0,0,0
ENSG00000128713,1,0,1,0,0,2
ENSG00000128714,0,0,0,0,0,0
ENSG00000128731,2775,2179,2401,2426,2737,2349
ENSG00000128739,2,3,1,1,2,1
ENSG00000128789,1401,1165,1128,1162,1354,1147
ENSG00000128791,1674,1337,1375,1401,1542,1408
ENSG00000128805,19,17,22,19,16,19
ENSG00000128815,0,0,0,0,0,0
ENSG00000128829,1434,1174,1154,1129,1417,1192
ENSG00000128833,8121,6683,6567,6738,7876,7122
ENSG00000128849,81,64,59,63,65,74
ENSG00000128872,223,169,157,175,194,185
ENSG00000128881,297,236,267,282,260,284
ENSG00000128886,7,4,10,12,15,11
ENSG00000128891,319,290,268,261,296,239
ENSG00000128908,1333,1044,989,1020,1257,1046
ENSG00000128915,876,684,627,715,806,708
ENSG00000128917,70,45,59,55,63,62
ENSG00000128918,11,8,9,9,10,16
ENSG00000128923,351,240,287,270,264,241
ENSG00000128928,3828,3014,3024,3078,3649,3087
ENSG00000128944,1155,1022,1146,903,1189,1127
ENSG00000128951,2568,1946,1961,2151,2349,2036
ENSG00000128965,55,40,59,52,59,86
ENSG00000128973,2806,2062,2079,2355,2648,2006
ENSG00000128989,12622,10340,10261,10913,12071,10964
ENSG00000129003,764,682,673,651,740,727
ENSG00000129007,219,147,148,202,183,181
ENSG00000129009,0,0,0,0,0,0
ENSG00000129028,151,113,106,99,109,82
ENSG00000129038,55,30,40,34,47,43
ENSG00000129048,9,10,14,9,17,17
ENSG00000129055,1575,1342,1233,1312,1477,1310
ENSG00000129071,2194,1769,1650,1649,1961,1654
ENSG00000129083,8256,6687,6803,6658,7812,7162
ENSG00000129084,1010,804,714,787,937,805
ENSG00000129103,3528,2897,3105,2969,3528,3154
ENSG00000129116,570,433,529,489,568,469
ENSG00000129128,3679,2935,2825,3050,3284,3189
ENSG00000129151,0,0,0,0,0,0
ENSG00000129152,0,0,0,0,0,0
ENSG00000129158,200,169,174,151,195,193
ENSG00000129159,8,9,7,15,9,12
ENSG00000129167,44,43,23,39,44,32
ENSG00000129170,1,0,0,0,1,0
ENSG00000129173,1285,1015,969,1083,1233,920
ENSG00000129187,1033,768,791,840,950,800
ENSG00000129194,37,27,34,22,35,22
ENSG00000129195,737,629,730,574,762,734
ENSG00000129197,650,496,489,483,626,577
ENSG00000129204,997,743,772,805,890,856
ENSG00000129214,9,9,7,8,8,6
ENSG00000129219,614,422,509,496,560,527
ENSG00000129221,0,0,0,0,0,0
ENSG00000129226,0,2,1,0,1,1
ENSG00000129235,1715,1441,1354,1383,1647,1330
ENSG00000129244,4,2,13,4,5,3
ENSG00000129245,1264,932,1010,1028,1211,1058
ENSG00000129250,3225,2388,2598,2599,2992,2686
ENSG00000129255,1062,775,772,960,1041,864
ENSG00000129292,1461,1191,1192,1190,1388,1213
ENSG00000129295,6,4,5,8,0,6
ENSG00000129315,2127,1752,1796,1639,1852,1775
ENSG00000129317,764,673,680,695,695,727
ENSG00000129347,1516,1182,1232,1201,1409,1179
ENSG00000129351,21110,16199,16248,17493,20092,16536
ENSG00000129353,6738,5606,5824,5618,6632,5998
ENSG00000129354,5730,4637,4666,4533,5417,4766
ENSG00000129355,313,237,305,243,309,288
ENSG00000129422,1000,827,854,761,959,830
ENSG00000129437,32,19,23,19,26,18
ENSG00000129450,2,0,0,0,0,0
ENSG00000129451,0,2,3,0,8,0
ENSG00000129455,0,0,0,0,0,0
ENSG00000129460,1303,1044,1075,1118,1256,1061
ENSG00000129465,0,0,0,0,0,0
ENSG00000129467,6,1,2,2,4,0
ENSG00000129472,461,367,425,426,505,444
ENSG00000129473,1844,1520,1465,1426,1813,1649
ENSG00000129474,1312,1034,1151,923,1263,1169
ENSG00000129480,597,470,492,475,525,473
ENSG00000129484,1606,1280,1357,1248,1552,1359
ENSG00000129493,620,568,559,552,682,582
ENSG00000129514,6842,4937,5686,6158,7234,6428
ENSG00000129515,2991,2439,2336,2445,2678,2265
ENSG00000129518,1009,769,839,763,1023,872
ENSG00000129521,337,255,245,217,300,240
ENSG00000129534,2861,2503,2668,2306,2736,2771
ENSG00000129535,60,39,47,37,41,47
ENSG00000129538,0,0,0,2,3,2
ENSG00000129559,1377,1064,1027,1052,1307,1078
ENSG00000129562,3532,3102,2931,2993,3571,3036
ENSG00000129566,1584,1297,1331,1282,1434,1395
ENSG00000129595,25,27,22,11,23,20
